symbol,initial_cash,final_value,profit,return_pct,total_closed_trades,wins,losses,win_rate_pct,ending_cash,ending_shares
FPT,100000000,96543262.46899997,-3456737.531000033,-3.456737531000033,5,3,2,60.0,5602.468999966979,1007700
HPG,100000000,105180318.88399996,5180318.883999959,5.180318883999958,9,3,6,33.33333333333333,459.8839999586344,4056300
VNM,100000000,94622435.94400005,-5377564.05599995,-5.37756405599995,7,4,3,57.14285714285714,94622435.94400005,0
VCB,100000000,110706911.392,10706911.392000005,10.706911392000004,5,2,3,40.0,110706911.392,0
MWG,100000000,124738319.93500006,24738319.935000062,24.73831993500006,6,4,2,66.66666666666666,5919.935000047088,1411000
SSI,100000000,151653178.60899997,51653178.60899997,51.65317860899997,5,3,2,60.0,853.6089999675751,5013300
