date,close,cash,shares,market_value,total_value,unrealized_pnl
2020-01-02 07:00:00,21.18,100000000.0,0,0.0,100000000.0,0.0
2020-01-03 07:00:00,20.82,100000000.0,0,0.0,100000000.0,0.0
2020-01-06 07:00:00,20.61,100000000.0,0,0.0,100000000.0,0.0
2020-01-07 07:00:00,21.0,100000000.0,0,0.0,100000000.0,0.0
2020-01-08 07:00:00,20.54,100000000.0,0,0.0,100000000.0,0.0
2020-01-09 07:00:00,20.82,100000000.0,0,0.0,100000000.0,0.0
2020-01-10 07:00:00,20.79,100000000.0,0,0.0,100000000.0,0.0
2020-01-13 07:00:00,20.64,100000000.0,0,0.0,100000000.0,0.0
2020-01-14 07:00:00,20.61,100000000.0,0,0.0,100000000.0,0.0
2020-01-15 07:00:00,20.61,100000000.0,0,0.0,100000000.0,0.0
2020-01-16 07:00:00,20.97,100000000.0,0,0.0,100000000.0,0.0
2020-01-17 07:00:00,20.82,100000000.0,0,0.0,100000000.0,0.0
2020-01-20 07:00:00,20.75,100000000.0,0,0.0,100000000.0,0.0
2020-01-21 07:00:00,20.07,100000000.0,0,0.0,100000000.0,0.0
2020-01-22 07:00:00,20.43,100000000.0,0,0.0,100000000.0,0.0
2020-01-30 07:00:00,19.77,100000000.0,0,0.0,100000000.0,0.0
2020-01-31 07:00:00,18.8,100000000.0,0,0.0,100000000.0,0.0
2020-02-03 07:00:00,18.62,100000000.0,0,0.0,100000000.0,0.0
2020-02-04 07:00:00,18.73,100000000.0,0,0.0,100000000.0,0.0
2020-02-05 07:00:00,18.8,100000000.0,0,0.0,100000000.0,0.0
2020-02-06 07:00:00,19.38,100000000.0,0,0.0,100000000.0,0.0
2020-02-07 07:00:00,19.27,100000000.0,0,0.0,100000000.0,0.0
2020-02-10 07:00:00,19.02,100000000.0,0,0.0,100000000.0,0.0
2020-02-11 07:00:00,19.38,100000000.0,0,0.0,100000000.0,0.0
2020-02-12 07:00:00,19.56,100000000.0,0,0.0,100000000.0,0.0
2020-02-13 07:00:00,19.63,100000000.0,0,0.0,100000000.0,0.0
2020-02-14 07:00:00,19.7,100000000.0,0,0.0,100000000.0,0.0
2020-02-17 07:00:00,19.6,100000000.0,0,0.0,100000000.0,0.0
2020-02-18 07:00:00,20.24,100000000.0,0,0.0,100000000.0,0.0
2020-02-19 07:00:00,20.14,48.949000000953674,4943100,99554034.0,99554082.949,-346017.0000000014
2020-02-20 07:00:00,20.17,48.949000000953674,4943100,99702327.00000001,99702375.94900002,-197723.99999999578
2020-02-21 07:00:00,19.77,48.949000000953674,4943100,97725087.0,97725135.949,-2174964.0000000065
2020-02-24 07:00:00,18.98,48.949000000953674,4943100,93820038.0,93820086.949,-6080013.000000002
2020-02-25 07:00:00,19.52,92941796.94100001,0,0.0,92941796.94100001,0.0
2020-02-26 07:00:00,19.88,92941796.94100001,0,0.0,92941796.94100001,0.0
2020-02-27 07:00:00,20.24,1397.3890000134706,4670400,94528896.0,94530293.38900001,1681343.9999999974
2020-02-28 07:00:00,19.92,1397.3890000134706,4670400,93034368.00000001,93035765.38900003,186816.0000000126
2020-03-02 07:00:00,20.14,1397.3890000134706,4670400,94061856.0,94063253.38900001,1214304.0000000072
2020-03-03 07:00:00,20.21,1397.3890000134706,4670400,94388784.0,94390181.38900001,1541232.0000000086
2020-03-04 07:00:00,20.07,1397.3890000134706,4670400,93734928.0,93736325.38900001,887376.0000000059
2020-03-05 07:00:00,19.74,1397.3890000134706,4670400,92193696.0,92195093.38900001,-653856.0000000027
2020-03-06 07:00:00,19.52,1397.3890000134706,4670400,91166208.0,91167605.38900001,-1681343.9999999974
2020-03-09 07:00:00,18.18,1397.3890000134706,4670400,84907872.0,84909269.38900001,-7939679.999999996
2020-03-10 07:00:00,18.69,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-11 07:00:00,18.36,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-12 07:00:00,17.39,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-13 07:00:00,17.41,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-16 07:00:00,17.21,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-17 07:00:00,17.53,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-18 07:00:00,17.5,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-19 07:00:00,17.24,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-20 07:00:00,17.24,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-23 07:00:00,16.05,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-24 07:00:00,16.09,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-25 07:00:00,16.63,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-26 07:00:00,15.98,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-27 07:00:00,15.58,85951329.03700002,0,0.0,85951329.03700002,0.0
2020-03-30 07:00:00,14.61,85951329.03700002,0,0.0,85951329.03700002,0.0
