date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2022-02-09 07:00:00,BUY,26.22,3810000,99898200.0,99898.2,0.0,1901.7999999970198,3810000,26.22,0.0,BUY_SIGNAL
2022-03-14 07:00:00,SELL,27.08,3810000,103174800.0,103174.8,103174.8,102970352.2,0,,3070250.399999998,SELL_SIGNAL
2022-07-18 07:00:00,BUY,17.56,5858000,102866479.99999999,102866.47999999998,0.0,1005.7200000137091,5858000,17.56,0.0,BUY_SIGNAL
2022-07-26 07:00:00,SELL,16.5,5858000,96657000.0,96657.0,96657.0,96464691.72000001,0,,-6402793.999999993,SELL_SIGNAL
2022-08-02 07:00:00,BUY,17.33,5560700,96366930.99999999,96366.93099999998,0.0,1393.7890000343323,5560700,17.33,0.0,BUY_SIGNAL
2022-08-30 07:00:00,SELL,17.48,5560700,97201036.0,97201.03600000001,97201.03600000001,97008027.71700004,0,,639702.928000012,SELL_SIGNAL
2022-11-28 07:00:00,BUY,11.81,8205800,96910498.0,96910.498,0.0,619.2190000414848,8205800,11.81,0.0,BUY_SIGNAL
2022-12-27 07:00:00,SELL,12.94,8205800,106183052.0,106183.052,106183.052,105971305.11500004,0,,9060187.895999994,SELL_SIGNAL
2023-01-04 07:00:00,BUY,14.72,7191900,105864768.0,105864.768,0.0,672.3470000326633,7191900,14.72,0.0,BUY_SIGNAL
2023-02-08 07:00:00,SELL,14.95,7191900,107518905.0,107518.905,107518.905,107304539.53700003,0,,1439099.1899999902,SELL_SIGNAL
2023-02-17 07:00:00,BUY,16.12,6649900,107196388.0,107196.388,0.0,955.1490000337362,6649900,16.12,0.0,BUY_SIGNAL
2023-02-28 07:00:00,SELL,15.48,6649900,102940452.0,102940.452,102940.452,102735526.24500002,0,,-4461816.904000003,SELL_SIGNAL
2023-03-13 07:00:00,BUY,15.93,6442700,102632211.0,102632.211,0.0,683.0340000241995,6442700,15.93,0.0,BUY_SIGNAL
2023-03-15 07:00:00,SELL,15.74,6442700,101408098.0,101408.098,101408.098,101205964.83800001,0,,-1426929.1959999967,SELL_SIGNAL
2023-03-16 07:00:00,BUY,15.89,6362700,101103303.0,101103.303,0.0,1558.5350000113249,6362700,15.89,0.0,BUY_SIGNAL
2023-03-20 07:00:00,SELL,15.44,6362700,98240088.0,98240.088,98240.088,98045166.35900001,0,,-3059695.176000007,SELL_SIGNAL
2023-04-04 07:00:00,BUY,16.01,6117800,97945978.00000001,97945.97800000002,0.0,1242.3809999972582,6117800,16.01,0.0,BUY_SIGNAL
2023-04-14 07:00:00,SELL,15.55,6117800,95131790.0,95131.79000000001,95131.79000000001,94942768.80099998,0,,-3004451.580000005,SELL_SIGNAL
2023-04-27 07:00:00,BUY,16.65,5696500,94846724.99999999,94846.72499999999,0.0,1197.0760000050068,5696500,16.65,0.0,BUY_SIGNAL
2023-05-25 07:00:00,SELL,16.12,5696500,91827580.0,91827.58,91827.58,91645121.91600001,0,,-3202800.159999986,SELL_SIGNAL
2023-06-08 07:00:00,BUY,17.18,5329000,91552220.0,91552.22,0.0,1349.6960000097752,5329000,17.18,0.0,BUY_SIGNAL
2023-08-04 07:00:00,SELL,20.28,5329000,108072120.0,108072.12,108072.12,107857325.456,0,,16303755.76000001,SELL_SIGNAL
2023-08-15 07:00:00,BUY,21.31,5056200,107747622.0,107747.622,0.0,1955.834000006318,5056200,21.31,0.0,BUY_SIGNAL
2023-08-21 07:00:00,SELL,20.02,5056200,101225124.0,101225.124,101225.124,101024629.58600001,0,,-6724948.247999995,SELL_SIGNAL
2023-09-05 07:00:00,BUY,21.04,4796700,100922568.0,100922.568,0.0,1139.0180000066757,4796700,21.04,0.0,BUY_SIGNAL
2023-09-26 07:00:00,SELL,19.57,4796700,93871419.0,93871.41900000001,93871.41900000001,93684815.18,0,,-7238891.837999994,SELL_SIGNAL
2023-11-03 07:00:00,BUY,19.23,4866900,93590487.0,93590.48700000001,0.0,737.6930000036955,4866900,19.23,0.0,BUY_SIGNAL
2023-12-19 07:00:00,SELL,20.13,4866900,97970697.0,97970.697,97970.697,97775493.29900001,0,,4184268.6059999936,SELL_SIGNAL
2023-12-20 07:00:00,BUY,20.59,4743900,97676901.0,97676.901,0.0,915.3980000168085,4743900,20.59,0.0,BUY_SIGNAL
2024-04-02 07:00:00,SELL,22.63,4743900,107354457.0,107354.45700000001,107354.45700000001,107140663.48400001,0,,9462847.085999995,SELL_SIGNAL
2024-05-07 07:00:00,BUY,22.25,4810500,107033625.0,107033.625,0.0,4.859000012278557,4810500,22.25,0.0,BUY_SIGNAL
2024-07-01 07:00:00,SELL,23.57,4810500,113383485.0,113383.485,113383.485,113156722.88900001,0,,6123093.03,SELL_SIGNAL
2024-09-23 07:00:00,BUY,21.48,5262700,113042796.0,113042.796,0.0,884.093000009656,5262700,21.48,0.0,BUY_SIGNAL
2024-10-24 07:00:00,SELL,22.07,5262700,116147789.0,116147.789,116147.789,115916377.515,0,,2872697.4219999993,SELL_SIGNAL
2024-10-30 07:00:00,BUY,22.53,5139800,115799694.0,115799.694,0.0,883.820999994874,5139800,22.53,0.0,BUY_SIGNAL
2024-11-04 07:00:00,SELL,22.11,5139800,113640978.0,113640.978,113640.978,113414579.865,0,,-2385997.956000009,SELL_SIGNAL
2024-11-11 07:00:00,BUY,22.53,5028900,113301117.0,113301.117,0.0,161.74799999594688,5028900,22.53,0.0,BUY_SIGNAL
2024-11-15 07:00:00,SELL,21.9,5028900,110132910.0,110132.91,110132.91,109912805.928,0,,-3388472.8200000133,SELL_SIGNAL
2024-12-02 07:00:00,BUY,22.44,4893100,109801164.0,109801.164,0.0,1840.7639999985695,4893100,22.44,0.0,BUY_SIGNAL
2024-12-23 07:00:00,SELL,22.28,4893100,109018268.0,109018.268,109018.268,108802072.22799999,0,,-1000932.5360000008,SELL_SIGNAL
2025-01-24 07:00:00,BUY,22.19,4898300,108693277.0,108693.277,0.0,101.95099999010563,4898300,22.19,0.0,BUY_SIGNAL
2025-02-11 07:00:00,SELL,21.19,4898300,103794977.0,103794.977,103794.977,103587488.997,0,,-5105889.954,SELL_SIGNAL
2025-02-19 07:00:00,BUY,22.15,4671900,103482585.0,103482.585,0.0,1421.4120000004768,4671900,22.15,0.0,BUY_SIGNAL
2025-03-21 07:00:00,SELL,22.57,4671900,105444783.0,105444.783,105444.783,105235314.84599999,0,,1751308.4340000078,SELL_SIGNAL
2025-04-16 07:00:00,BUY,21.57,4873900,105130023.0,105130.023,0.0,161.82299998402596,4873900,21.57,0.0,BUY_SIGNAL
2025-05-27 07:00:00,SELL,21.28,4873900,103716592.0,103716.592,103716.592,103509320.639,0,,-1620864.1839999957,SELL_SIGNAL
2025-06-10 07:00:00,BUY,22.07,4685300,103404571.0,103404.571,0.0,1345.0680000036955,4685300,22.07,0.0,BUY_SIGNAL
2025-08-25 07:00:00,SELL,26.5,4685300,124160450.0,124160.45,124160.45,123913474.168,0,,20507558.1,SELL_SIGNAL
2025-08-27 07:00:00,BUY,27.25,4542700,123788575.0,123788.575,0.0,1110.5929999947548,4542700,27.25,0.0,BUY_SIGNAL
2025-10-01 07:00:00,SELL,28.3,4542700,128558410.0,128558.41,128558.41,128302403.773,0,,4512718.1800000025,SELL_SIGNAL
2025-10-13 07:00:00,BUY,29.05,4412100,128171505.0,128171.505,0.0,2727.2680000066757,4412100,29.05,0.0,BUY_SIGNAL
2025-10-17 07:00:00,SELL,28.3,4412100,124862430.0,124862.43000000001,124862.43000000001,124615432.40799999,0,,-3558799.8600000003,SELL_SIGNAL
2025-11-18 07:00:00,BUY,27.25,4568400,124488900.0,124488.90000000001,0.0,2043.5079999864101,4568400,27.25,0.0,BUY_SIGNAL
2025-12-01 07:00:00,SELL,26.65,4568400,121747860.0,121747.86,121747.86,121506407.78799999,0,,-2984535.7200000063,SELL_SIGNAL
2025-12-05 07:00:00,BUY,27.35,4438200,121384770.0,121384.77,0.0,253.01799999177456,4438200,27.35,0.0,BUY_SIGNAL
