date,close,cash,shares,market_value,total_value,unrealized_pnl
2023-01-03 07:00:00,46.46,100000000.0,0,0.0,100000000.0,0.0
2023-01-04 07:00:00,46.58,100000000.0,0,0.0,100000000.0,0.0
2023-01-05 07:00:00,47.25,100000000.0,0,0.0,100000000.0,0.0
2023-01-06 07:00:00,47.25,100000000.0,0,0.0,100000000.0,0.0
2023-01-09 07:00:00,48.88,100000000.0,0,0.0,100000000.0,0.0
2023-01-10 07:00:00,49.11,100000000.0,0,0.0,100000000.0,0.0
2023-01-11 07:00:00,47.87,100000000.0,0,0.0,100000000.0,0.0
2023-01-12 07:00:00,47.7,100000000.0,0,0.0,100000000.0,0.0
2023-01-13 07:00:00,48.26,100000000.0,0,0.0,100000000.0,0.0
2023-01-16 07:00:00,49.11,100000000.0,0,0.0,100000000.0,0.0
2023-01-17 07:00:00,50.29,100000000.0,0,0.0,100000000.0,0.0
2023-01-18 07:00:00,50.63,100000000.0,0,0.0,100000000.0,0.0
2023-01-19 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-01-27 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-01-30 07:00:00,50.57,100000000.0,0,0.0,100000000.0,0.0
2023-01-31 07:00:00,51.69,100000000.0,0,0.0,100000000.0,0.0
2023-02-01 07:00:00,50.12,100000000.0,0,0.0,100000000.0,0.0
2023-02-02 07:00:00,50.96,100000000.0,0,0.0,100000000.0,0.0
2023-02-03 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-02-06 07:00:00,54.0,100000000.0,0,0.0,100000000.0,0.0
2023-02-07 07:00:00,51.75,100000000.0,0,0.0,100000000.0,0.0
2023-02-08 07:00:00,52.99,100000000.0,0,0.0,100000000.0,0.0
2023-02-09 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-02-10 07:00:00,53.16,100000000.0,0,0.0,100000000.0,0.0
2023-02-13 07:00:00,52.59,100000000.0,0,0.0,100000000.0,0.0
2023-02-14 07:00:00,52.03,100000000.0,0,0.0,100000000.0,0.0
2023-02-15 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-02-16 07:00:00,51.98,100000000.0,0,0.0,100000000.0,0.0
2023-02-17 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-02-20 07:00:00,52.76,100000000.0,0,0.0,100000000.0,0.0
2023-02-21 07:00:00,52.99,100000000.0,0,0.0,100000000.0,0.0
2023-02-22 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-02-23 07:00:00,52.48,100000000.0,0,0.0,100000000.0,0.0
2023-02-24 07:00:00,52.59,100000000.0,0,0.0,100000000.0,0.0
2023-02-27 07:00:00,52.2,100000000.0,0,0.0,100000000.0,0.0
2023-02-28 07:00:00,52.59,100000000.0,0,0.0,100000000.0,0.0
2023-03-01 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-03-02 07:00:00,52.43,100000000.0,0,0.0,100000000.0,0.0
2023-03-03 07:00:00,51.13,100000000.0,0,0.0,100000000.0,0.0
2023-03-06 07:00:00,51.19,100000000.0,0,0.0,100000000.0,0.0
2023-03-07 07:00:00,51.69,100000000.0,0,0.0,100000000.0,0.0
2023-03-08 07:00:00,51.86,100000000.0,0,0.0,100000000.0,0.0
2023-03-09 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-03-10 07:00:00,51.81,100000000.0,0,0.0,100000000.0,0.0
2023-03-13 07:00:00,51.47,100000000.0,0,0.0,100000000.0,0.0
2023-03-14 07:00:00,51.19,100000000.0,0,0.0,100000000.0,0.0
2023-03-15 07:00:00,51.41,100000000.0,0,0.0,100000000.0,0.0
2023-03-16 07:00:00,51.19,100000000.0,0,0.0,100000000.0,0.0
2023-03-17 07:00:00,50.06,100000000.0,0,0.0,100000000.0,0.0
2023-03-20 07:00:00,47.87,100000000.0,0,0.0,100000000.0,0.0
2023-03-21 07:00:00,48.66,100000000.0,0,0.0,100000000.0,0.0
2023-03-22 07:00:00,50.06,100000000.0,0,0.0,100000000.0,0.0
2023-03-23 07:00:00,51.02,100000000.0,0,0.0,100000000.0,0.0
2023-03-24 07:00:00,50.06,100000000.0,0,0.0,100000000.0,0.0
2023-03-27 07:00:00,51.19,100000000.0,0,0.0,100000000.0,0.0
2023-03-28 07:00:00,51.64,100000000.0,0,0.0,100000000.0,0.0
2023-03-29 07:00:00,51.92,100000000.0,0,0.0,100000000.0,0.0
2023-03-30 07:00:00,52.14,100000000.0,0,0.0,100000000.0,0.0
2023-03-31 07:00:00,51.41,100000000.0,0,0.0,100000000.0,0.0
2023-04-03 07:00:00,52.2,100000000.0,0,0.0,100000000.0,0.0
2023-04-04 07:00:00,51.75,100000000.0,0,0.0,100000000.0,0.0
2023-04-05 07:00:00,51.81,100000000.0,0,0.0,100000000.0,0.0
2023-04-06 07:00:00,51.3,100000000.0,0,0.0,100000000.0,0.0
2023-04-07 07:00:00,50.63,100000000.0,0,0.0,100000000.0,0.0
2023-04-10 07:00:00,50.06,100000000.0,0,0.0,100000000.0,0.0
2023-04-11 07:00:00,49.61,100000000.0,0,0.0,100000000.0,0.0
2023-04-12 07:00:00,49.67,100000000.0,0,0.0,100000000.0,0.0
2023-04-13 07:00:00,49.61,100000000.0,0,0.0,100000000.0,0.0
2023-04-14 07:00:00,49.73,100000000.0,0,0.0,100000000.0,0.0
2023-04-17 07:00:00,49.73,100000000.0,0,0.0,100000000.0,0.0
2023-04-18 07:00:00,49.5,100000000.0,0,0.0,100000000.0,0.0
2023-04-19 07:00:00,49.78,100000000.0,0,0.0,100000000.0,0.0
2023-04-20 07:00:00,49.67,100000000.0,0,0.0,100000000.0,0.0
2023-04-21 07:00:00,49.22,100000000.0,0,0.0,100000000.0,0.0
2023-04-24 07:00:00,49.44,100000000.0,0,0.0,100000000.0,0.0
2023-04-25 07:00:00,49.67,100000000.0,0,0.0,100000000.0,0.0
2023-04-26 07:00:00,50.29,100000000.0,0,0.0,100000000.0,0.0
2023-04-27 07:00:00,50.63,100000000.0,0,0.0,100000000.0,0.0
2023-04-28 07:00:00,50.91,100000000.0,0,0.0,100000000.0,0.0
2023-05-04 07:00:00,49.78,100000000.0,0,0.0,100000000.0,0.0
2023-05-05 07:00:00,50.51,100000000.0,0,0.0,100000000.0,0.0
2023-05-08 07:00:00,52.31,100000000.0,0,0.0,100000000.0,0.0
2023-05-09 07:00:00,51.92,100000000.0,0,0.0,100000000.0,0.0
2023-05-10 07:00:00,51.75,100000000.0,0,0.0,100000000.0,0.0
2023-05-11 07:00:00,51.19,100000000.0,0,0.0,100000000.0,0.0
2023-05-12 07:00:00,52.2,100000000.0,0,0.0,100000000.0,0.0
2023-05-15 07:00:00,51.58,100000000.0,0,0.0,100000000.0,0.0
2023-05-16 07:00:00,52.09,100000000.0,0,0.0,100000000.0,0.0
2023-05-17 07:00:00,52.2,100000000.0,0,0.0,100000000.0,0.0
2023-05-18 07:00:00,53.44,100000000.0,0,0.0,100000000.0,0.0
2023-05-19 07:00:00,52.99,1829.7280000001192,1879200,99578808.0,99580637.728,-319463.9999999899
2023-05-22 07:00:00,52.37,1829.7280000001192,1879200,98413704.0,98415533.728,-1484567.9999999984
2023-05-23 07:00:00,52.2,1829.7280000001192,1879200,98094240.0,98096069.728,-1804031.9999999884
2023-05-24 07:00:00,52.09,1829.7280000001192,1879200,97887528.0,97889357.728,-2010743.9999999872
2023-05-25 07:00:00,52.43,1829.7280000001192,1879200,98526456.0,98528285.728,-1371815.9999999942
2023-05-26 07:00:00,51.75,1829.7280000001192,1879200,97248600.0,97250429.728,-2649671.9999999935
2023-05-29 07:00:00,52.37,1829.7280000001192,1879200,98413704.0,98415533.728,-1484567.9999999984
2023-05-30 07:00:00,53.16,1829.7280000001192,1879200,99898272.0,99900101.728,0.0
2023-05-31 07:00:00,52.88,1829.7280000001192,1879200,99372096.0,99373925.728,-526175.9999999888
2023-06-01 07:00:00,52.82,1829.7280000001192,1879200,99259344.0,99261173.728,-638927.999999993
2023-06-02 07:00:00,53.38,1829.7280000001192,1879200,100311696.0,100313525.728,413424.00000001123
2023-06-05 07:00:00,55.13,1829.7280000001192,1879200,103600296.0,103602125.728,3702024.000000011
2023-06-06 07:00:00,55.69,1829.7280000001192,1879200,104652648.0,104654477.728,4754376.000000002
2023-06-07 07:00:00,54.56,1829.7280000001192,1879200,102529152.0,102530981.728,2630880.0000000107
2023-06-08 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-06-09 07:00:00,56.53,1829.7280000001192,1879200,106231176.0,106233005.728,6332904.000000008
2023-06-12 07:00:00,56.81,1829.7280000001192,1879200,106757352.0,106759181.728,6859080.00000001
2023-06-13 07:00:00,57.66,1829.7280000001192,1879200,108354672.0,108356501.728,8456400.0
2023-06-14 07:00:00,57.71,1829.7280000001192,1879200,108448632.0,108450461.728,8550360.000000007
2023-06-15 07:00:00,58.22,1829.7280000001192,1879200,109407024.0,109408853.728,9508752.000000004
2023-06-16 07:00:00,59.06,1829.7280000001192,1879200,110985552.0,110987381.728,11087280.000000011
2023-06-19 07:00:00,57.21,1829.7280000001192,1879200,107509032.0,107510861.728,7610760.000000008
2023-06-20 07:00:00,56.19,1829.7280000001192,1879200,105592248.0,105594077.728,5693976.000000002
2023-06-21 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-06-22 07:00:00,56.48,1829.7280000001192,1879200,106137216.0,106139045.728,6238944.000000001
2023-06-23 07:00:00,56.19,1829.7280000001192,1879200,105592248.0,105594077.728,5693976.000000002
2023-06-26 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-06-27 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-06-28 07:00:00,56.87,1829.7280000001192,1879200,106870104.0,106871933.728,6971832.000000002
2023-06-29 07:00:00,57.32,1829.7280000001192,1879200,107715744.0,107717573.728,7817472.0000000065
2023-06-30 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-07-03 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-07-04 07:00:00,56.25,1829.7280000001192,1879200,105705000.0,105706829.728,5806728.0000000065
2023-07-05 07:00:00,57.38,1829.7280000001192,1879200,107828496.0,107830325.728,7930224.000000011
2023-07-06 07:00:00,56.64,1829.7280000001192,1879200,106437888.0,106439717.728,6539616.000000007
2023-07-07 07:00:00,59.06,1829.7280000001192,1879200,110985552.0,110987381.728,11087280.000000011
2023-07-10 07:00:00,57.77,1829.7280000001192,1879200,108561384.0,108563213.728,8663112.000000013
2023-07-11 07:00:00,57.94,1829.7280000001192,1879200,108880848.0,108882677.728,8982576.000000002
2023-07-12 07:00:00,58.5,1829.7280000001192,1879200,109933200.0,109935029.728,10034928.000000006
2023-07-13 07:00:00,59.01,1829.7280000001192,1879200,110891592.0,110893421.728,10993320.000000002
2023-07-14 07:00:00,59.06,1829.7280000001192,1879200,110985552.0,110987381.728,11087280.000000011
2023-07-17 07:00:00,58.95,1829.7280000001192,1879200,110778840.0,110780669.728,10880568.000000011
2023-07-18 07:00:00,58.67,1829.7280000001192,1879200,110252664.0,110254493.728,10354392.00000001
2023-07-19 07:00:00,59.91,1829.7280000001192,1879200,112582872.0,112584701.728,12684600.0
2023-07-20 07:00:00,59.06,1829.7280000001192,1879200,110985552.0,110987381.728,11087280.000000011
2023-07-21 07:00:00,59.06,1829.7280000001192,1879200,110985552.0,110987381.728,11087280.000000011
2023-07-24 07:00:00,58.84,1829.7280000001192,1879200,110572128.0,110573957.728,10673856.000000013
2023-07-25 07:00:00,60.9,1829.7280000001192,1879200,114443280.0,114445109.728,14545008.000000004
2023-07-26 07:00:00,62.03,1829.7280000001192,1879200,116566776.0,116568605.728,16668504.00000001
2023-07-27 07:00:00,61.56,1829.7280000001192,1879200,115683552.0,115685381.728,15785280.000000011
2023-07-28 07:00:00,61.76,1829.7280000001192,1879200,116059392.0,116061221.728,16161120.000000002
2023-07-31 07:00:00,60.83,1829.7280000001192,1879200,114311736.0,114313565.728,14413464.000000004
2023-08-01 07:00:00,60.56,1829.7280000001192,1879200,113804352.0,113806181.728,13906080.000000011
2023-08-02 07:00:00,60.76,1829.7280000001192,1879200,114180192.0,114182021.728,14281920.000000002
2023-08-03 07:00:00,60.17,1829.7280000001192,1879200,113071464.0,113073293.728,13173192.00000001
2023-08-04 07:00:00,59.83,1829.7280000001192,1879200,112432536.0,112434365.728,12534264.000000004
2023-08-07 07:00:00,60.3,1829.7280000001192,1879200,113315760.0,113317589.728,13417488.000000002
2023-08-08 07:00:00,60.23,1829.7280000001192,1879200,113184216.0,113186045.728,13285944.0
2023-08-09 07:00:00,59.9,1829.7280000001192,1879200,112564080.0,112565909.728,12665808.000000004
2023-08-10 07:00:00,58.77,1829.7280000001192,1879200,110440584.0,110442413.728,10542312.000000013
2023-08-11 07:00:00,60.03,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-14 07:00:00,59.1,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-15 07:00:00,59.04,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-16 07:00:00,59.24,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-17 07:00:00,59.37,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-18 07:00:00,59.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-21 07:00:00,59.63,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-22 07:00:00,58.7,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-23 07:00:00,57.31,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-24 07:00:00,57.78,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-25 07:00:00,57.24,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-28 07:00:00,57.78,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-29 07:00:00,58.7,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-30 07:00:00,59.17,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-08-31 07:00:00,59.17,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-05 07:00:00,59.83,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-06 07:00:00,59.9,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-07 07:00:00,59.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-08 07:00:00,59.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-11 07:00:00,58.77,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-12 07:00:00,59.7,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-13 07:00:00,59.17,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-14 07:00:00,59.17,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-15 07:00:00,59.63,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-18 07:00:00,58.97,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-19 07:00:00,58.51,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-20 07:00:00,58.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-21 07:00:00,57.78,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-22 07:00:00,59.3,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-25 07:00:00,59.3,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-26 07:00:00,57.78,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-27 07:00:00,58.31,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-28 07:00:00,58.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-09-29 07:00:00,58.11,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-02 07:00:00,57.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-03 07:00:00,57.31,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-04 07:00:00,57.31,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-05 07:00:00,56.12,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-06 07:00:00,56.71,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-09 07:00:00,56.18,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-10 07:00:00,57.18,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-11 07:00:00,57.44,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-12 07:00:00,57.11,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-13 07:00:00,57.51,110221532.55999999,0,0.0,110221532.55999999,0.0
2023-10-16 07:00:00,57.18,110221532.55999999,0,0.0,110221532.55999999,0.0
