date,close,cash,shares,market_value,total_value,unrealized_pnl
2025-01-02 07:00:00,58.26,100000000.0,0,0.0,100000000.0,0.0
2025-01-03 07:00:00,58.17,100000000.0,0,0.0,100000000.0,0.0
2025-01-06 07:00:00,57.71,100000000.0,0,0.0,100000000.0,0.0
2025-01-07 07:00:00,56.97,100000000.0,0,0.0,100000000.0,0.0
2025-01-08 07:00:00,56.97,100000000.0,0,0.0,100000000.0,0.0
2025-01-09 07:00:00,57.06,100000000.0,0,0.0,100000000.0,0.0
2025-01-10 07:00:00,56.6,100000000.0,0,0.0,100000000.0,0.0
2025-01-13 07:00:00,56.69,100000000.0,0,0.0,100000000.0,0.0
2025-01-14 07:00:00,56.87,100000000.0,0,0.0,100000000.0,0.0
2025-01-15 07:00:00,56.97,100000000.0,0,0.0,100000000.0,0.0
2025-01-16 07:00:00,57.15,100000000.0,0,0.0,100000000.0,0.0
2025-01-17 07:00:00,57.24,100000000.0,0,0.0,100000000.0,0.0
2025-01-20 07:00:00,57.15,100000000.0,0,0.0,100000000.0,0.0
2025-01-21 07:00:00,57.06,100000000.0,0,0.0,100000000.0,0.0
2025-01-22 07:00:00,56.87,100000000.0,0,0.0,100000000.0,0.0
2025-01-23 07:00:00,57.24,100000000.0,0,0.0,100000000.0,0.0
2025-01-24 07:00:00,57.43,100000000.0,0,0.0,100000000.0,0.0
2025-02-03 07:00:00,55.86,100000000.0,0,0.0,100000000.0,0.0
2025-02-04 07:00:00,55.58,100000000.0,0,0.0,100000000.0,0.0
2025-02-05 07:00:00,56.78,100000000.0,0,0.0,100000000.0,0.0
2025-02-06 07:00:00,56.04,100000000.0,0,0.0,100000000.0,0.0
2025-02-07 07:00:00,56.14,100000000.0,0,0.0,100000000.0,0.0
2025-02-10 07:00:00,55.95,100000000.0,0,0.0,100000000.0,0.0
2025-02-11 07:00:00,55.77,100000000.0,0,0.0,100000000.0,0.0
2025-02-12 07:00:00,56.32,100000000.0,0,0.0,100000000.0,0.0
2025-02-13 07:00:00,56.04,100000000.0,0,0.0,100000000.0,0.0
2025-02-14 07:00:00,55.67,100000000.0,0,0.0,100000000.0,0.0
2025-02-17 07:00:00,55.4,100000000.0,0,0.0,100000000.0,0.0
2025-02-18 07:00:00,55.67,100000000.0,0,0.0,100000000.0,0.0
2025-02-19 07:00:00,56.14,100000000.0,0,0.0,100000000.0,0.0
2025-02-20 07:00:00,56.04,100000000.0,0,0.0,100000000.0,0.0
2025-02-21 07:00:00,56.69,100000000.0,0,0.0,100000000.0,0.0
2025-02-24 07:00:00,58.91,2260.1580000072718,1756600,103481306.0,103483566.158,3583463.9999999986
2025-02-25 07:00:00,58.08,2260.1580000072718,1756600,102023328.0,102025588.158,2125486.0000000014
2025-02-26 07:00:00,58.26,2260.1580000072718,1756600,102339516.0,102341776.158,2441674.000000001
2025-02-27 07:00:00,57.43,2260.1580000072718,1756600,100881538.0,100883798.158,983696.000000004
