date,ticker,open,high,low,close,volume
2025-01-02 07:00:00,MWG,60.04,60.33,59.44,59.74,3969400
2025-01-03 07:00:00,MWG,59.74,59.84,57.77,57.77,6604400
2025-01-06 07:00:00,MWG,57.57,58.46,56.19,56.19,5409900
2025-01-07 07:00:00,MWG,56.49,56.98,55.6,56.29,5532900
2025-01-08 07:00:00,MWG,56.29,57.28,55.7,57.28,3068200
2025-01-09 07:00:00,MWG,57.18,57.18,56.68,56.88,1738300
2025-01-10 07:00:00,MWG,56.68,57.18,56.09,56.68,3594100
2025-01-13 07:00:00,MWG,55.8,56.88,55.7,56.49,3791900
2025-01-14 07:00:00,MWG,56.49,56.68,55.8,56.39,2917600
2025-01-15 07:00:00,MWG,56.59,57.08,55.99,56.49,3242300
2025-01-16 07:00:00,MWG,56.39,57.18,56.19,56.98,3794300
2025-01-17 07:00:00,MWG,56.49,56.98,56.39,56.88,2697800
2025-01-20 07:00:00,MWG,56.88,57.08,56.49,56.68,2216200
2025-01-21 07:00:00,MWG,56.88,57.37,56.39,56.88,3419600
2025-01-22 07:00:00,MWG,57.08,57.18,56.59,56.59,3103000
2025-01-23 07:00:00,MWG,56.49,58.66,56.49,58.36,5657500
2025-01-24 07:00:00,MWG,58.36,59.25,57.77,59.25,6757300
2025-02-03 07:00:00,MWG,58.16,58.75,57.67,58.75,5157500
2025-02-04 07:00:00,MWG,59.05,59.05,58.16,58.75,3638100
2025-02-05 07:00:00,MWG,58.75,58.95,58.26,58.56,2780100
2025-02-06 07:00:00,MWG,58.66,58.75,57.87,58.26,4148800
2025-02-07 07:00:00,MWG,58.06,58.16,56.98,58.06,6955900
2025-02-10 07:00:00,MWG,57.47,57.47,56.59,56.59,5927400
2025-02-11 07:00:00,MWG,56.59,56.59,55.6,55.6,5986000
2025-02-12 07:00:00,MWG,55.99,56.49,55.6,55.6,4848400
2025-02-13 07:00:00,MWG,55.21,55.21,54.02,54.02,11353700
2025-02-14 07:00:00,MWG,54.32,54.52,53.04,54.42,11169000
2025-02-17 07:00:00,MWG,54.42,54.42,53.33,53.33,5933200
2025-02-18 07:00:00,MWG,53.23,54.22,53.04,53.73,4497600
2025-02-19 07:00:00,MWG,53.92,55.3,53.63,55.01,7547500
2025-02-20 07:00:00,MWG,55.11,55.9,54.91,55.9,6194500
2025-02-21 07:00:00,MWG,55.99,57.47,55.8,57.28,10123600
2025-02-24 07:00:00,MWG,57.28,57.67,56.49,57.57,6243200
2025-02-25 07:00:00,MWG,57.28,57.57,56.59,57.47,7929200
2025-02-26 07:00:00,MWG,57.47,58.26,56.98,57.87,4977600
2025-02-27 07:00:00,MWG,57.87,57.97,57.37,57.77,3222900
2025-02-28 07:00:00,MWG,57.18,57.87,56.98,57.47,5283200
2025-03-03 07:00:00,MWG,57.37,58.26,56.98,57.97,5938000
2025-03-04 07:00:00,MWG,57.87,59.05,57.57,58.66,6414100
2025-03-05 07:00:00,MWG,58.95,59.35,58.46,58.75,7188800
2025-03-06 07:00:00,MWG,58.95,61.02,58.75,61.02,13451900
2025-03-07 07:00:00,MWG,60.92,61.12,60.43,61.02,5404100
2025-03-10 07:00:00,MWG,61.12,61.42,60.53,61.32,8125200
2025-03-11 07:00:00,MWG,60.53,62.3,60.53,62.11,9576900
2025-03-12 07:00:00,MWG,62.11,62.11,61.02,61.81,8817600
2025-03-13 07:00:00,MWG,61.81,61.91,60.33,60.63,7327800
2025-03-14 07:00:00,MWG,60.63,61.42,60.33,60.63,8759800
2025-03-17 07:00:00,MWG,60.82,61.12,60.53,61.12,3541900
2025-03-18 07:00:00,MWG,61.32,61.61,60.53,60.92,5349100
2025-03-19 07:00:00,MWG,60.33,60.53,58.16,58.66,13416400
2025-03-20 07:00:00,MWG,58.95,59.15,58.16,59.15,4063500
2025-03-21 07:00:00,MWG,59.15,59.44,58.56,59.44,3129500
2025-03-24 07:00:00,MWG,58.95,59.44,58.66,59.44,2855200
2025-03-25 07:00:00,MWG,59.54,60.43,59.05,59.64,5513700
2025-03-26 07:00:00,MWG,59.74,60.33,59.64,59.94,2416100
2025-03-27 07:00:00,MWG,59.94,59.94,59.15,59.54,3190000
2025-03-28 07:00:00,MWG,59.25,59.84,58.06,58.95,7228900
2025-03-31 07:00:00,MWG,58.16,58.36,57.28,58.16,6534800
2025-04-01 07:00:00,MWG,57.77,58.06,56.88,57.77,5640900
2025-04-02 07:00:00,MWG,57.77,58.85,57.18,57.97,7441200
2025-04-03 07:00:00,MWG,54.32,55.5,53.92,53.92,14956500
2025-04-04 07:00:00,MWG,50.18,52.74,50.18,52.05,28985900
2025-04-08 07:00:00,MWG,48.5,49.29,48.45,48.45,11930200
2025-04-09 07:00:00,MWG,45.1,48.5,45.1,45.59,20206600
2025-04-10 07:00:00,MWG,48.75,48.75,48.75,48.75,411300
2025-04-11 07:00:00,MWG,50.28,52.15,49.88,52.15,12779000
2025-04-14 07:00:00,MWG,54.22,55.8,53.53,55.8,15361600
2025-04-15 07:00:00,MWG,55.21,56.78,54.32,56.29,12059800
2025-04-16 07:00:00,MWG,55.8,56.88,54.81,55.99,9252400
2025-04-17 07:00:00,MWG,55.11,55.99,54.81,55.99,5398300
2025-04-18 07:00:00,MWG,56.09,56.78,55.4,55.4,6353500
2025-04-21 07:00:00,MWG,55.5,55.8,54.52,54.81,4632900
2025-04-22 07:00:00,MWG,54.61,56.49,51.26,56.49,16304400
2025-04-23 07:00:00,MWG,57.67,58.46,57.37,57.97,8393400
2025-04-24 07:00:00,MWG,57.97,59.05,57.57,58.85,7681300
2025-04-25 07:00:00,MWG,58.66,59.64,58.56,59.64,10315100
2025-04-28 07:00:00,MWG,60.04,61.12,58.75,60.04,7707900
2025-04-29 07:00:00,MWG,59.94,60.23,59.64,59.94,5701400
2025-05-05 07:00:00,MWG,59.94,60.53,59.15,60.13,5099700
2025-05-06 07:00:00,MWG,60.13,60.33,59.25,59.64,4110300
2025-05-07 07:00:00,MWG,59.05,59.64,58.26,59.25,7742800
2025-05-08 07:00:00,MWG,59.25,59.44,58.06,59.44,9463100
2025-05-09 07:00:00,MWG,59.44,60.13,59.25,59.54,4780000
2025-05-12 07:00:00,MWG,59.84,60.04,59.25,59.94,6434100
2025-05-13 07:00:00,MWG,60.33,62.8,60.13,62.6,17084400
2025-05-14 07:00:00,MWG,62.9,63.39,62.7,63.09,9926500
