date,ticker,open,high,low,close,volume,src,highest,lowest,middle,atr,atr_prev,epsilon,upper_band,lower_band,trend_state,signal
2025-01-02 07:00:00,HPG,21.83,22.12,21.83,22.08,14961200,22.08,,,,,,,,,,HOLD
2025-01-03 07:00:00,HPG,22.0,22.08,21.75,21.75,13200100,21.75,,,,,,,,,,HOLD
2025-01-06 07:00:00,HPG,21.75,21.83,21.3,21.3,15250500,21.3,,,,,,,,,,HOLD
2025-01-07 07:00:00,HPG,21.38,21.59,21.3,21.3,14399600,21.3,,,,,,,,,,HOLD
2025-01-08 07:00:00,HPG,21.3,21.47,21.22,21.47,12957600,21.47,,,,0.3379999999999995,,,,,,HOLD
2025-01-09 07:00:00,HPG,21.51,21.51,21.18,21.26,9236900,21.26,,,,0.34599999999999936,0.3379999999999995,0.16899999999999976,,,,HOLD
2025-01-10 07:00:00,HPG,21.26,21.34,20.89,20.89,14273600,20.89,,,,0.36999999999999955,0.34599999999999936,0.17299999999999968,,,,HOLD
2025-01-13 07:00:00,HPG,20.89,21.3,20.81,21.18,13576000,21.18,,,,0.36200000000000043,0.36999999999999955,0.18499999999999978,,,,HOLD
2025-01-14 07:00:00,HPG,21.22,21.26,21.1,21.14,7660700,21.14,,,,0.33600000000000063,0.36200000000000043,0.18100000000000022,,,,HOLD
2025-01-15 07:00:00,HPG,21.26,21.47,21.18,21.43,11221600,21.43,,,,0.3520000000000003,0.33600000000000063,0.16800000000000032,,,,HOLD
2025-01-16 07:00:00,HPG,21.51,21.63,21.3,21.51,11206800,21.51,,,,0.3519999999999996,0.3520000000000003,0.17600000000000016,,,,HOLD
2025-01-17 07:00:00,HPG,21.51,21.67,21.34,21.67,13950100,21.67,,,,0.3280000000000001,0.3519999999999996,0.1759999999999998,,,,HOLD
2025-01-20 07:00:00,HPG,21.67,21.88,21.63,21.63,9654200,21.63,,,,0.2799999999999997,0.3280000000000001,0.16400000000000006,,,,HOLD
2025-01-21 07:00:00,HPG,21.75,21.75,21.43,21.51,10421500,21.51,,,,0.3119999999999997,0.2799999999999997,0.13999999999999985,,,,HOLD
2025-01-22 07:00:00,HPG,21.59,21.59,21.38,21.38,10280000,21.38,,,,0.28800000000000026,0.3119999999999997,0.15599999999999986,,,,HOLD
