date,ticker,open,high,low,close,volume,src,highest,lowest,middle,atr,atr_prev,epsilon,upper_band,lower_band,trend_state,signal
2025-01-02 07:00:00,VCB,60.83,61.43,60.76,61.03,1630500,61.03,,,,,,,,,,HOLD
2025-01-03 07:00:00,VCB,61.03,61.36,61.03,61.1,1402200,61.1,,,,,,,,,,HOLD
2025-01-06 07:00:00,VCB,61.1,62.03,61.03,61.69,1936800,61.69,,,,,,,,,,HOLD
2025-01-07 07:00:00,VCB,61.89,61.89,61.29,61.29,1252400,61.29,,,,,,,,,,HOLD
2025-01-08 07:00:00,VCB,61.29,61.36,60.76,61.36,1052000,61.36,,,,0.6400000000000006,,,,,,HOLD
2025-01-09 07:00:00,VCB,61.1,61.23,60.9,61.03,738300,61.03,,,,0.5980000000000004,0.6400000000000006,0.3200000000000003,,,,HOLD
2025-01-10 07:00:00,VCB,61.03,61.36,60.7,60.7,1112500,60.7,,,,0.664,0.5980000000000004,0.2990000000000002,,,,HOLD
2025-01-13 07:00:00,VCB,60.63,61.03,60.5,61.03,937600,61.03,,,,0.5700000000000003,0.664,0.332,,,,HOLD
2025-01-14 07:00:00,VCB,61.03,61.03,60.56,60.9,677300,60.9,,,,0.5439999999999998,0.5700000000000003,0.28500000000000014,,,,HOLD
2025-01-15 07:00:00,VCB,61.03,61.03,60.7,60.7,445300,60.7,,,,0.48999999999999916,0.5439999999999998,0.2719999999999999,,,,HOLD
2025-01-16 07:00:00,VCB,61.03,61.89,60.96,61.56,2460200,61.56,,,,0.6359999999999986,0.48999999999999916,0.24499999999999958,,,,HOLD
2025-01-17 07:00:00,VCB,61.56,61.76,61.23,61.43,1122600,61.43,,,,0.6099999999999994,0.6359999999999986,0.3179999999999993,,,,HOLD
2025-01-20 07:00:00,VCB,61.29,61.43,60.83,60.9,1761500,60.9,,,,0.6239999999999994,0.6099999999999994,0.3049999999999997,,,,HOLD
2025-01-21 07:00:00,VCB,61.16,61.16,60.63,60.7,1264900,60.7,,,,0.6359999999999986,0.6239999999999994,0.3119999999999997,,,,HOLD
2025-01-22 07:00:00,VCB,61.1,61.1,60.56,60.56,979100,60.56,,,,0.6779999999999987,0.6359999999999986,0.3179999999999993,,,,HOLD
2025-01-23 07:00:00,VCB,60.63,61.69,60.63,61.43,1685100,61.43,,,,0.6659999999999983,0.6779999999999987,0.33899999999999936,,,,HOLD
2025-01-24 07:00:00,VCB,61.16,61.76,61.16,61.49,944000,61.49,,,,0.6799999999999983,0.6659999999999983,0.33299999999999913,,,,HOLD
2025-02-03 07:00:00,VCB,61.29,61.36,60.83,60.83,1435800,60.83,,,,0.6919999999999987,0.6799999999999983,0.33999999999999914,,,,HOLD
2025-02-04 07:00:00,VCB,61.16,61.23,60.9,61.1,855200,61.1,,,,0.6659999999999997,0.6919999999999987,0.34599999999999936,,,,HOLD
2025-02-05 07:00:00,VCB,61.1,61.63,61.1,61.49,1345800,61.49,61.69,60.56,61.125,0.664,0.6659999999999997,0.33299999999999985,61.458,60.792,B,BUY
2025-02-06 07:00:00,VCB,61.63,62.03,61.56,61.69,1351600,61.69,61.69,60.56,61.125,0.5460000000000008,0.664,0.332,61.457,60.793,B,HOLD
